category,model,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,train_s_mean,train_s_sd
granulated_sugar,Unigram BoW + LogReg,0.9648484848484848,0.009696969696969704,0.9708149340690477,0.009968306015625504,0.9457142857142857,0.022857142857142857,0.9579150618395426,0.012048469865103018,0.010634613037109376,0.0037098348579654235
granulated_sugar,Word 1-2-gram + LogReg,0.9624242424242425,0.011594622102853929,0.9723457013128833,0.01780959045631765,0.9385714285714286,0.026572964625340378,0.9548234821450586,0.014365985750470546,0.012278175354003907,0.00018010213320022422
granulated_sugar,Word 1-3-gram + LogReg,0.9593939393939394,0.011751951169494153,0.9678253037485017,0.016605369420004987,0.9357142857142857,0.024327694808466267,0.9512481666298912,0.01445851528825431,0.014041471481323241,0.0001238123451784782
granulated_sugar,Char n-gram(3-5) + LogReg,0.9963636363636363,0.0022676711434993727,0.9929176477303537,0.004454070943986159,0.9985714285714286,0.0028571428571428467,0.9957295013106325,0.0026631880696025806,0.03374300003051758,0.00047265588492140974
granulated_sugar,BoW+MLP(256),0.9818181818181818,0.008570991287109683,0.9746136067231769,0.012050980121113955,0.9828571428571429,0.013248026422136723,0.9786562571487549,0.010018360537171042,0.3915249824523926,0.022440926523564702
granulated_sugar,CNN,0.943030303030303,0.010032088095301102,0.9459136852423775,0.012238915579386148,0.9185714285714287,0.028066975291983584,0.9317042902560008,0.012778290883023563,0.45902328491210936,0.5478985875788687
granulated_sugar,LSTM,0.946060606060606,0.00752101433090356,0.9462682151255111,0.009079367774442522,0.9257142857142858,0.02539484119233025,0.9355832075581351,0.010058028340637402,0.42215380668640134,0.02047402437246861
milk,Unigram BoW + LogReg,0.96,0.01452018006146777,0.9748274067664809,0.012324535266724631,0.9299999999999999,0.035970509462897614,0.9514296611987797,0.018540988181288676,0.008924150466918945,0.00035901837550358906
milk,Word 1-2-gram + LogReg,0.9612121212121212,0.01513938908702642,0.9695227484933368,0.01802297176559466,0.9385714285714286,0.035742845723419445,0.9532889006313197,0.018858551936148563,0.01307978630065918,0.00019356497156015927
milk,Word 1-3-gram + LogReg,0.9593939393939394,0.013899812049914811,0.9681770260758105,0.020321331464162866,0.9357142857142856,0.03350296971302451,0.9511411798140053,0.017281009655739404,0.015354633331298828,0.00020298431919266836
milk,Char n-gram(3-5) + LogReg,0.9975757575757577,0.0022676711434993727,0.9971529888551165,0.003486899097711232,0.9971428571428571,0.0034992710611188135,0.9971428389210504,0.002672629464257825,0.03276252746582031,0.0005181805216683573
milk,BoW+MLP(256),0.9690909090909091,0.007015658728963778,0.9568923882443305,0.017791214249402217,0.9714285714285715,0.016288220358559133,0.9638736884217295,0.008210927660493682,0.40019783973693845,0.020629487576684917
milk,CNN,0.9587878787878787,0.009111088714165414,0.9727919448972081,0.02310618318317646,0.93,0.032071349029490936,0.950199882459058,0.011848224397596013,0.2496272563934326,0.14336633551810293
milk,LSTM,0.9496969696969696,0.019880266020432365,0.9664046507979114,0.03741292199620293,0.9157142857142857,0.04894811914003377,0.9388631297477268,0.02529508147945056,0.4009894371032715,0.040829764840520824
bread,Unigram BoW + LogReg,0.9648484848484848,0.013899812049914827,0.961452683186122,0.0189198862009699,0.9557142857142858,0.021380899352993955,0.9584264399532954,0.01634279093026841,0.009276914596557616,0.00019406841188932496
bread,Word 1-2-gram + LogReg,0.967878787878788,0.008907235428302454,0.9682949531449401,0.012913807626080307,0.9557142857142857,0.013850513878332362,0.9618905158344315,0.010516100821861815,0.012434816360473633,0.00025021779871032873
bread,Word 1-3-gram + LogReg,0.9660606060606061,0.009070684573997425,0.9654071813951527,0.01199446105218202,0.9542857142857143,0.013997084244475298,0.9597560407494641,0.010741979129220525,0.014919137954711914,0.0004815822680681493
bread,Char n-gram(3-5) + LogReg,0.9945454545454545,0.00121212121212122,0.9887022846297644,0.0034131464023428454,0.9985714285714286,0.0028571428571428467,0.9936043656502503,0.0014185934286306003,0.035910749435424806,0.0006610249350127906
bread,BoW+MLP(256),0.9769696969696969,0.007569694543513213,0.9664515401584367,0.013174725830571896,0.9800000000000001,0.01714285714285716,0.9730194458606396,0.008923772844069523,0.3791466236114502,0.026033317106080006
bread,CNN,0.9387878787878788,0.010032088095301102,0.9322889044494337,0.023160599703643606,0.9242857142857142,0.04055734161879541,0.9272687078599737,0.013408923298074636,0.14831438064575195,0.008014610579095499
bread,LSTM,0.9357575757575758,0.019769098703394047,0.9273232965866853,0.016979167118450607,0.9214285714285715,0.052489065916782394,0.9233837173997246,0.025718122424888915,0.3864795207977295,0.0015694390554492658
beer,Unigram BoW + LogReg,0.9672727272727272,0.011076161746967912,0.9614914080496059,0.013049022513415703,0.9614285714285714,0.017261494247992268,0.9613954804903116,0.013109733366994676,0.010699224472045899,0.00022349629747423882
beer,Word 1-2-gram + LogReg,0.9727272727272729,0.011338355717496812,0.9768253619684591,0.013847719156629731,0.9585714285714285,0.0193780856660722,0.9675049183525746,0.01358058836414449,0.01388092041015625,0.00027043185381757444
beer,Word 1-3-gram + LogReg,0.9696969696969697,0.011338355717496812,0.9712927492443499,0.017682402123423906,0.9571428571428571,0.017496355305594114,0.9640276200050094,0.013409289218118306,0.016325616836547853,0.00022842976509522718
beer,Char n-gram(3-5) + LogReg,0.9969696969696971,0.003319530651546442,0.9929673163715718,0.0076606094743297635,1.0,0.0,0.9964563711127598,0.003870850403863405,0.03731074333190918,0.0007127532509974868
beer,BoW+MLP(256),0.9745454545454544,0.008265564664839915,0.9521014970748354,0.014424623626498309,0.99,0.007284313590846844,0.9706327589436874,0.009410694955760267,0.3743566989898682,0.008896058170234948
beer,CNN,0.9509090909090909,0.009659016636672242,0.9543833789228483,0.02525425773247273,0.93,0.031751586815561235,0.9413132774227012,0.011977885634799713,0.1500800609588623,0.009411596967511836
beer,LSTM,0.9521212121212121,0.008865902326259275,0.9404129729134272,0.02663297303166739,0.9485714285714286,0.025314350209527665,0.9438790347479259,0.01034887828567664,0.3920720100402832,0.001903140739594801
laundry_detergent,Unigram BoW + LogReg,0.9878787878787879,0.00428549564355483,1.0,0.0,0.9714285714285715,0.010101525445522102,0.9854806096923904,0.0051985023019980245,0.01123361587524414,0.0002901086989066093
laundry_detergent,Word 1-2-gram + LogReg,0.9854545454545456,0.0072727272727272545,1.0,0.0,0.9657142857142859,0.017142857142857147,0.9824802924037958,0.008926763187194008,0.014631175994873047,6.233770060980893e-05
laundry_detergent,Word 1-3-gram + LogReg,0.9836363636363638,0.008040302522073682,1.0,0.0,0.9614285714285715,0.01895214165917371,0.9802392672669324,0.009911599159938356,0.017165708541870116,0.0002788056058293491
laundry_detergent,Char n-gram(3-5) + LogReg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03842020034790039,0.0006639428091951199
laundry_detergent,BoW+MLP(256),0.9903030303030302,0.0029690784761008137,0.9886814563058248,0.008426663094321761,0.9885714285714287,0.007284313590846841,0.9885759657511043,0.003475078050902988,0.32113895416259763,0.004740407162885606
laundry_detergent,CNN,0.9660606060606061,0.00618062971344584,0.9823213845439804,0.009322495083013301,0.9371428571428572,0.02231499907401901,0.9589483863107702,0.008053709588158283,0.15146360397338868,0.01028752066174085
laundry_detergent,LSTM,0.9642424242424242,0.008221006040151827,0.9780526413534044,0.014559690441601339,0.9371428571428572,0.022767682072156042,0.9568751661817029,0.010314395067613455,0.3950640201568604,0.003589807563885001
fresh_apples,Unigram BoW + LogReg,0.9848484848484848,0.008131156281817403,0.9971221532091097,0.0035247801151189113,0.9671428571428571,0.021476137683389858,0.9817514089612931,0.010053399304139485,0.011168956756591797,0.0011596807915204507
fresh_apples,Word 1-2-gram + LogReg,0.9854545454545454,0.008441447440717639,0.9985714285714286,0.002857142857142847,0.9671428571428571,0.021476137683389858,0.9824630418210705,0.010420675289330508,0.014324474334716796,0.00013875767945715397
fresh_apples,Word 1-3-gram + LogReg,0.9848484848484848,0.009582659576267815,0.9985714285714286,0.002857142857142847,0.9657142857142856,0.02407471363764676,0.9816920105667677,0.011875974519509662,0.01662554740905762,0.00028831660573476085
fresh_apples,Char n-gram(3-5) + LogReg,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03661298751831055,0.0014635037244737467
fresh_apples,BoW+MLP(256),0.9884848484848485,0.0035339102393001707,0.9858542834786521,0.009904142405262648,0.9871428571428572,0.002857142857142847,0.9864611828217816,0.004092089111809646,0.35574750900268554,0.011003172508006488
fresh_apples,CNN,0.972121212121212,0.00445361771415121,0.9812933248591837,0.012663218170937547,0.9528571428571428,0.020503857277724757,0.9665946463896733,0.005735684682737782,0.17682194709777832,0.008828527436709555
fresh_apples,LSTM,0.9636363636363636,0.008782652573448131,0.9636657680746635,0.02767725681676093,0.9514285714285714,0.021852940772540512,0.9569713443898016,0.010053514056858986,0.39611091613769533,0.010983860407619925
